TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,315000,2,1400,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834
Condo for sale,195000000,7,17545,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909
House for sale,260000,4,2015,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086
Condo for sale,69000,3,445,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
Townhouse for sale,55000000,7,14175,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561
House for sale,690000,5,4004,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248
Condo for sale,899500,2,2184.207862,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777
House for sale,16800000,8,33000,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235
Co-op for sale,265000,1,750,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892
Co-op for sale,440000,2,978,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944
Co-op for sale,375000,2,850,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829
Townhouse for sale,689000,3,1162,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058
Co-op for sale,259000,3,2184.207862,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757
Co-op for sale,430000,2,2184.207862,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722
Co-op for sale,895000,3,2184.207862,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899
Condo for sale,549000,2,1000,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632
Townhouse for sale,975000,3,1734,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672
Co-op for sale,199000,3,325,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047
Co-op for sale,350000,1,700,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578
Condo for sale,599000,2,974,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804
House for sale,639999,3,1260,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362
Condo for sale,1300000,2,1244,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513
Multi-family home for sale,1100000,6,2837,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101
Condo for sale,349900,1,651,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034
House for sale,750000,2,1330,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555
Multi-family home for sale,1690000,6,2200,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486
Co-op for sale,325000,1,2184.207862,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355
Multi-family home for sale,2250000,12,5670,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399
Co-op for sale,230000,1,2184.207862,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231
Multi-family home for sale,1299888,10,3156,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554
