property_type,place_with_parent_names,lat-lon,price,currency,surface_covered_in_m2
apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",5500000,MXN,54
house,|Iztapalapa|Distrito Federal|México|,"19.31033,-99.068557",1512000,MXN,80
apartment,|Tlalpan|Distrito Federal|México|,"19.279771,-99.234597",926667,MXN,100
apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",6410000,MXN,135
apartment,|Benito Juárez|Quintana Roo|México|,"21.1902642,-86.8198375",875000,USD,263
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.432657,-99.177444",4416000,MXN,87
apartment,|Benito Juárez|Distrito Federal|México|,"19.367025,-99.170349",3150000,MXN,100
house,|Álvaro Obregón|Distrito Federal|México|,"19.340909,-99.22511",2086666,MXN,205
house,|Gustavo A. Madero|Distrito Federal|México|,"19.509359,-99.093272",1600000,MXN,144
house,|Benito Juárez|Quintana Roo|México|,"21.119158,-86.84693",6500000,MXN,350
house,|Miguel Hidalgo|Distrito Federal|México|,"19.432901,-99.213075",4398100,MXN,304
apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",1784569,MXN,57
apartment,|Solidaridad|Quintana Roo|México|,"20.4987828982,-87.2228193283",300000,USD,160
apartment,|Benito Juárez|Distrito Federal|México|,"19.3794059,-99.1591446",3272300,MXN,83
apartment,|Benito Juárez|Distrito Federal|México|,"19.36269,-99.150565",1260000,MXN,103
apartment,|Benito Juárez|Quintana Roo|México|,"21.0511211635,-86.7828512192",115000,USD,49
house,|Cuauhtémoc|Distrito Federal|México|,"19.452952,-99.158166",4888800,MXN,530
house,|Álvaro Obregón|Distrito Federal|México|,"19.342911,-99.224472",706447,MXN,90
house,|Gustavo A. Madero|Distrito Federal|México|,"19.491083,-99.07564",2230000,MXN,120
apartment,|Miguel Hidalgo|Distrito Federal|México|,,1016611,USD,149
apartment,|Iztacalco|Distrito Federal|México|,"19.4024128,-99.0953907",1345000,MXN,56
apartment,|Benito Juárez|Distrito Federal|México|,"19.35782,-99.149406",1295000,MXN,80
apartment,|Azcapotzalco|Distrito Federal|México|,"19.504985,-99.208557",460000,MXN,60
apartment,|Benito Juárez|Distrito Federal|México|,"19.376792,-99.153132",4900000,MXN,120
apartment,|Benito Juárez|Quintana Roo|México|,"21.1541659192,-86.8471578694",580000,MXN,99
house,|Venustiano Carranza|Distrito Federal|México|,"19.433895,-99.091159",1700000,MXN,220
apartment,|Coyoacán|Distrito Federal|México|,"19.354219,-99.126244",1786800,MXN,50
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.439716,-99.152892",662025,MXN,16
house,|Gustavo A. Madero|Distrito Federal|México|,"19.543273,-99.148777",706500,MXN,90
house,|Tlalpan|Distrito Federal|México|,"19.2690778853,-99.2035388947",2500000,MXN,150
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.420166,-99.220367",1750000,USD,734
apartment,|Benito Juárez|Distrito Federal|México|,"19.367728,-99.156645",2699000,MXN,90
apartment,|Benito Juárez|Distrito Federal|México|,"19.400785,-99.147419",1450000,MXN,90
apartment,|Solidaridad|Quintana Roo|México|,,329000,USD,0
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.430456,-99.1889121",1125000,USD,260
apartment,|Tlalpan|Distrito Federal|México|,"19.2745241,-99.1515694",2809200,MXN,
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.376482,-99.2587951",4220000,MXN,0
apartment,|Miguel Hidalgo|Distrito Federal|México|,,947592,USD,0
apartment,|Iztacalco|Distrito Federal|México|,,2490960,MXN,254
house,|Miguel Hidalgo|Distrito Federal|México|,"19.431318,-99.218292",,,0
apartment,|Benito Juárez|Distrito Federal|México|,"19.375658,-99.186109",4900000,MXN,190
house,|Coyoacán|Distrito Federal|México|,"19.307427366,-99.1170322895",5800000,MXN,263
apartment,|Benito Juárez|Distrito Federal|México|,"19.39177,-99.159996",1771066,MXN,114
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.366632,-99.1979",761173,MXN,65
house,|Benito Juárez|Quintana Roo|México|,"21.161908,-86.8515279",1250000,MXN,99
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.430456,-99.1889121",1146320,USD,
apartment,|Iztacalco|Distrito Federal|México|,"19.400731,-99.125466",1292000,MXN,80
apartment,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"20.627081,-87.068985",350000,USD,64
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,3735000,MXN,83
house,|Gustavo A. Madero|Distrito Federal|México|,"19.519724,-99.14607",14800000,MXN,804
house,|Gustavo A. Madero|Distrito Federal|México|,"19.469479,-99.104805",2210000,MXN,445
apartment,|Iztapalapa|Distrito Federal|México|,"19.337163,-99.080899",748000,MXN,61
apartment,|Solidaridad|Quintana Roo|México|,"20.65231,-87.092578",1303000,MXN,117
house,|Xochimilco|Distrito Federal|México|,"19.279143,-99.130161",3750000,MXN,124
house,|Álvaro Obregón|Distrito Federal|México|,"19.361606,-99.201739",949000,MXN,60
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",10500000,MXN,320
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4517419505,-99.1570790112",740000,MXN,
house,|Iztapalapa|Distrito Federal|México|,"19.374413,-99.105499",3350000,MXN,200
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.430456,-99.1889121",20000000,MXN,190
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.435666,-99.14973",850000,MXN,55
house,|Venustiano Carranza|Distrito Federal|México|,"19.412011,-99.106233",3850000,MXN,200
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.41498,-99.177444",3930000,MXN,180
apartment,|Benito Juárez|Distrito Federal|México|,"19.393401,-99.165187",4680000,MXN,120
house,|Xochimilco|Distrito Federal|México|,"19.276603,-99.137819",2718666,MXN,90
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.431629,-99.162762",2126666,MXN,112
apartment,|Tláhuac|Distrito Federal|México|,"19.2990233,-99.0436467",1013300,MXN,60
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.453854,-99.193979",680400,MXN,65
apartment,|Miguel Hidalgo|Distrito Federal|México|,,999375,USD,208
house,|Iztapalapa|Distrito Federal|México|,"19.3383626772,-99.0706713125",1800000,MXN,200
apartment,|Solidaridad|Quintana Roo|México|,"20.6523823712,-87.0461797714",1478500,USD,300
apartment,|Azcapotzalco|Distrito Federal|México|,"19.458968,-99.152898",568696,MXN,60
house,|Iztapalapa|Distrito Federal|México|,"19.345087,-99.10273",1339289,MXN,131
apartment,|Benito Juárez|Distrito Federal|México|,"19.394073,-99.153915",3200000,MXN,90
house,|Coyoacán|Distrito Federal|México|,"19.346749,-99.145944",992000,MXN,70
apartment,|Iztapalapa|Distrito Federal|México|,"19.332034,-99.062028",683000,MXN,65
house,|Iztacalco|Distrito Federal|México|,"19.381207,-99.0978814",3200000,MXN,264
house,|Benito Juárez|Quintana Roo|México|,"21.1199835722,-86.8363599075",9300000,MXN,900
house,|Álvaro Obregón|Distrito Federal|México|,"19.3398,-99.215945",3881333,MXN,287
apartment,|Benito Juárez|Distrito Federal|México|,"19.3753948137,-99.1657587614",9350000,MXN,159
apartment,|Tláhuac|Distrito Federal|México|,"19.305214,-99.046887",322040,MXN,50
apartment,|Benito Juárez|Distrito Federal|México|,"19.387245,-99.147388",2350000,MXN,147
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,1706400,MXN,47
apartment,|Benito Juárez|Distrito Federal|México|,"19.366081,-99.139389",2008000,MXN,63
house,|Miguel Hidalgo|Distrito Federal|México|,"19.420166,-99.220367",4000000,USD,451
apartment,|Benito Juárez|Distrito Federal|México|,"19.370272,-99.149127",706000,MXN,64
apartment,|Solidaridad|Quintana Roo|México|,"20.6546691,-87.0540165",204950,USD,62
house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",1600000,MXN,180
house,|Iztapalapa|Distrito Federal|México|,"19.366935,-99.077541",1464700,MXN,208
apartment,|Benito Juárez|Distrito Federal|México|,"19.386715,-99.143999",1515000,MXN,70
house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.367827,-99.289665",7200000,MXN,420
apartment,|Azcapotzalco|Distrito Federal|México|,"19.458968,-99.152898",568696,MXN,70
house,|Álvaro Obregón|Distrito Federal|México|,"19.3641188,-99.2640457",15599000,MXN,530
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.445471,-99.17317",1295000,MXN,70
house,|Gustavo A. Madero|Distrito Federal|México|,,3700000,MXN,160
apartment,|Solidaridad|Quintana Roo|México|,"20.6543977622,-87.0861594379",1366114,MXN,119
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.443903,-99.171681",995333,MXN,70
apartment,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"20.620914,-87.075059",182000,USD,0
apartment,|Coyoacán|Distrito Federal|México|,"19.314831,-99.140445",1119657,MXN,100
house,|Azcapotzalco|Distrito Federal|México|,"19.464928,-99.180214",5500000,MXN,310
apartment,|Coyoacán|Distrito Federal|México|,"19.317741,-99.119331",1189000,MXN,86
house,|Álvaro Obregón|Distrito Federal|México|,"19.367477,-99.222025",3060000,MXN,200
apartment,|Coyoacán|Distrito Federal|México|,"19.305984,-99.127341",2037000,MXN,80
apartment,|Benito Juárez|Distrito Federal|México|,"19.365843,-99.149901",1460000,MXN,60
house,|Miguel Hidalgo|Distrito Federal|México|,"19.401079,-99.24807",13500000,MXN,650
house,|Iztapalapa|Distrito Federal|México|,"19.383751,-99.071318",3569000,MXN,250
house,|Tabasco|Zacatecas|México|,"23.634501,-102.552788",1200000,MXN,110
apartment,|Miguel Hidalgo|Distrito Federal|México|,,1673373,USD,228
apartment,|Benito Juárez|Distrito Federal|México|,"19.365843,-99.149901",1500000,MXN,80
house,|Benito Juárez|Quintana Roo|México|,"21.1070511,-86.8468159",8900000,MXN,515
apartment,|Benito Juárez|Distrito Federal|México|,"19.399841,-99.154813",1302000,MXN,90
house,|Benito Juárez|Quintana Roo|México|,"21.149599,-86.8317228",2800000,MXN,180
apartment,|Benito Juárez|Quintana Roo|México|,"21.1902642,-86.8198375",1700000,MXN,80
apartment,|Miguel Hidalgo|Distrito Federal|México|,,12200000,MXN,247
apartment,|Benito Juárez|Distrito Federal|México|,"19.394073,-99.153915",2950000,MXN,73
house,|Iztapalapa|Distrito Federal|México|,"19.363498,-99.015615",1175000,MXN,90
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,775000,USD,360
house,|Tlalpan|Distrito Federal|México|,"19.3012112,-99.1290556",6500000,MXN,387
apartment,|Azcapotzalco|Distrito Federal|México|,"19.465454,-99.162665",1060000,MXN,70
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.405298,-99.164986",2969350,MXN,52
house,|Coyoacán|Distrito Federal|México|,"19.3073868643,-99.104847014",4000000,MXN,
apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",3000000,MXN,90
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.334546,-99.207876",1174200,MXN,69
apartment,|Benito Juárez|Distrito Federal|México|,,3000000,MXN,56
house,|Tlalpan|Distrito Federal|México|,"19.286214,-99.222026",4730000,MXN,985
house,|Xochimilco|Distrito Federal|México|,"19.271181,-99.137314",3950000,MXN,311
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4233932,-99.1682732",2880000,MXN,0
house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",41000000,MXN,1050
apartment,|Benito Juárez|Distrito Federal|México|,"19.403312,-99.151204",2503000,MXN,69
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.376392,-99.192439",703025,MXN,70
house,|Iztacalco|Distrito Federal|México|,"19.390301,-99.11161",2400000,MXN,187
house,|Iztapalapa|Distrito Federal|México|,"19.373264,-99.104161",2570500,MXN,250
apartment,|Solidaridad|Quintana Roo|México|,,190000,USD,146
apartment,|Venustiano Carranza|Distrito Federal|México|,"19.416439,-99.125632",784800,MXN,80
house,|Tlalpan|Distrito Federal|México|,"19.271242,-99.160156",2175000,MXN,150
house,|Benito Juárez|Quintana Roo|México|,"21.1545808,-86.8523054",2000000,MXN,180
apartment,|Benito Juárez|Distrito Federal|México|,"19.401456,-99.146787",1730000,MXN,70
house,|Coyoacán|Distrito Federal|México|,"19.326115,-99.109844",360735,MXN,65
apartment,|Iztacalco|Distrito Federal|México|,"19.4045899,-99.0601489",899000,MXN,54
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4169673,-99.1658498",4900000,MXN,84
house,|Benito Juárez|Quintana Roo|México|,"21.164824,-86.8327018",1950000,MXN,269
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.400249,-99.177444",3750000,MXN,97
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4553585442,-99.1632923484",1889100,MXN,62
house,|Miguel Hidalgo|Distrito Federal|México|,"19.401079,-99.24807",,,0
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.440749,-99.141649",1510000,MXN,90
apartment,|Azcapotzalco|Distrito Federal|México|,"19.484532,-99.207027",1464166,MXN,90
apartment,|Iztacalco|Distrito Federal|México|,"19.410307,-99.065399",849000,MXN,46
apartment,|Playa del Carmen|Solidaridad|Quintana Roo|México|,,297000,USD,0
apartment,|Benito Juárez|Distrito Federal|México|,"19.379376,-99.165182",3200000,MXN,97
apartment,|Benito Juárez|Distrito Federal|México|,"19.389044,-99.179657",1000000,MXN,98
house,|Tlalpan|Distrito Federal|México|,"19.274141,-99.166374",4032000,MXN,150
apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.478473,-99.120734",2350000,MXN,110
apartment,|Azcapotzalco|Distrito Federal|México|,"19.469769,-99.157379",2460878,MXN,98
house,|Tlalpan|Distrito Federal|México|,"19.2801195,-99.2137844",3800000,MXN,184
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.452143,-99.181477",1261346,MXN,85
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4011351582,-99.2554439631",1350000,USD,350
house,|Gustavo A. Madero|Distrito Federal|México|,"19.4510306354,-99.065538235",1860000,MXN,2
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3499358,-99.2906864",2800000,MXN,65
house,|Solidaridad|Quintana Roo|México|,"20.6572413506,-87.094373703",1579000,MXN,138
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.43475,-99.189814",5380000,MXN,287
apartment,|Benito Juárez|Distrito Federal|México|,"19.3807458,-99.1553016",2936000,MXN,74
house,|Benito Juárez|Quintana Roo|México|,"21.082655,-86.857162",5500000,MXN,350
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.445742,-99.159469",1511333,MXN,351
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.386551,-99.193708",1800000,MXN,64
apartment,|Azcapotzalco|Distrito Federal|México|,"19.466822,-99.157379",1450000,MXN,64
apartment,|Benito Juárez|Distrito Federal|México|,"19.370501,-99.139389",2058400,MXN,63
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.382986,-99.241837",3420000,MXN,150
apartment,|Benito Juárez|Quintana Roo|México|,"21.051662,-86.852967",3750000,MXN,203
house,|Álvaro Obregón|Distrito Federal|México|,"19.326543,-99.195963",29950000,MXN,1084
apartment,|Miguel Hidalgo|Distrito Federal|México|,,19500000,MXN,272
house,|Iztapalapa|Distrito Federal|México|,"19.383948,-99.067884",510000,MXN,100
house,|Xochimilco|Distrito Federal|México|,"19.2707122505,-99.1396721452",7663430,MXN,368
house,|Gustavo A. Madero|Distrito Federal|México|,"19.4548897,-99.0538781",1445000,MXN,144
apartment,|Venustiano Carranza|Distrito Federal|México|,"19.417028,-99.065176",1000000,MXN,10
apartment,|Azcapotzalco|Distrito Federal|México|,"19.462425,-99.17654",604000,MXN,75
apartment,|Coyoacán|Distrito Federal|México|,"19.306092,-99.113431",1048450,MXN,302
house,|Tlalpan|Distrito Federal|México|,"19.286214,-99.222026",3400000,MXN,80
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.408904,-99.174556",2029333,MXN,105
apartment,|Benito Juárez|Quintana Roo|México|,"21.0906563,-86.7717484",1895989,USD,498
house,|Álvaro Obregón|Distrito Federal|México|,"19.337902,-99.236776",2380000,MXN,250
house,|Cozumel|Quintana Roo|México|,,1400000,USD,250
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",800000,USD,446
apartment,|Azcapotzalco|Distrito Federal|México|,,917302,MXN,49
house,|Álvaro Obregón|Distrito Federal|México|,"19.353288,-99.244721",2589000,MXN,290
apartment,|Azcapotzalco|Distrito Federal|México|,"19.474885,-99.188231",1350000,MXN,75
apartment,|Iztapalapa|Distrito Federal|México|,"19.36994,-99.007399",583000,MXN,56
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.358585,-99.185753",4279100,MXN,93
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.337013,-99.197613",2689178,MXN,300
apartment,|Benito Juárez|Distrito Federal|México|,"19.379525,-99.188914",1042000,MXN,70
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,4400000,MXN,162
apartment,|Benito Juárez|Quintana Roo|México|,"21.1651106632,-86.8201701343",407919,USD,213
house,|Benito Juárez|Quintana Roo|México|,"21.1095243506,-86.8429112434",5650000,MXN,380
apartment,|Iztacalco|Distrito Federal|México|,"19.400731,-99.125466",1292000,MXN,80
apartment,|Benito Juárez|Distrito Federal|México|,,7900000,MXN,150
apartment,|Benito Juárez|Quintana Roo|México|,"21.1902642,-86.8198375",4975000,MXN,179
apartment,|Benito Juárez|Distrito Federal|México|,"19.390283,-99.1770974",5075300,MXN,
apartment,|Tulum|Quintana Roo|México|,"20.2024604644,-87.4630379677",325000,USD,130
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4124708,-99.1717827",4050000,MXN,110
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3563182,-99.2882606",1705000,MXN,44
house,|Álvaro Obregón|Distrito Federal|México|,"19.371502,-99.232647",11026933,MXN,307
house,|Benito Juárez|Quintana Roo|México|,"21.1543341422,-86.8512002751",2500000,MXN,210
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.428324,-99.176337",3325930,MXN,80
house,|Xochimilco|Distrito Federal|México|,"19.272594,-99.137045",4127333,MXN,176
house,|La Magdalena Contreras|Distrito Federal|México|,"19.2981344924,-99.2395804077",3815000,MXN,
apartment,|Azcapotzalco|Distrito Federal|México|,"19.480501,-99.178139",870000,MXN,70
house,|Azcapotzalco|Distrito Federal|México|,"19.472634,-99.197437",2800000,MXN,110
apartment,|Tlalpan|Distrito Federal|México|,,2566600,MXN,64
apartment,|Cuauhtémoc|Distrito Federal|México|,"23.634501,-102.552788",1180000,MXN,81
house,|Álvaro Obregón|Distrito Federal|México|,"19.352528,-99.217276",1514680,MXN,496
apartment,|Azcapotzalco|Distrito Federal|México|,,1060000,MXN,60
apartment,|Iztacalco|Distrito Federal|México|,"19.402752,-99.098587",1870000,MXN,78
apartment,|Azcapotzalco|Distrito Federal|México|,"19.465454,-99.162665",1430636,MXN,90
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4114169,-99.1739405",8000000,MXN,175
apartment,|Benito Juárez|Distrito Federal|México|,,8841000,MXN,
apartment,|Benito Juárez|Distrito Federal|México|,"19.3853063,-99.1521292",4250000,MXN,108
apartment,|Venustiano Carranza|Distrito Federal|México|,"19.414261,-99.104118",938000,MXN,48
house,|Solidaridad|Quintana Roo|México|,"20.6384345312,-87.0732097328",2150000,MXN,145
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.443152,-99.202733",8369168,MXN,255
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.364996,-99.241523",1400000,MXN,42
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.408904,-99.174556",2029333,MXN,105
apartment,|Tlalpan|Distrito Federal|México|,"19.290953,-99.124863",1049000,MXN,95
apartment,|Álvaro Obregón|Distrito Federal|México|,,1250000,MXN,60
house,|Iztapalapa|Distrito Federal|México|,"19.336441,-99.010132",1047000,MXN,154
apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,,21000000,MXN,555
apartment,|Benito Juárez|Quintana Roo|México|,"21.1279956,-86.7644738",420000,USD,200
house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",3300000,MXN,275
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.3609784,-99.2084005",6350000,MXN,168
apartment,|Álvaro Obregón|Distrito Federal|México|,,4662000,MXN,100
house,|Tlalpan|Distrito Federal|México|,"19.2865191,-99.2283274",2975000,MXN,140
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.418048,-99.158527",1400000,MXN,137
apartment,|Miguel Hidalgo|Distrito Federal|México|,,1256606,USD,206
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.443178,-99.20237",9403995,MXN,288
house,|Tlalpan|Distrito Federal|México|,"19.281164,-99.20237",2191500,MXN,130
house,|Miguel Hidalgo|Distrito Federal|México|,"19.4122137,-99.2153341",3350000,USD,1200
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.405883,-99.183079",605000,MXN,70
store,|Benito Juárez|Quintana Roo|México|,"21.1728369076,-86.8189591169",,,1500
apartment,|Benito Juárez|Quintana Roo|México|,"21.116732,-86.768234",549000,USD,234
apartment,|Azcapotzalco|Distrito Federal|México|,"19.471896,-99.224024",812800,MXN,70
house,|Benito Juárez|Quintana Roo|México|,"21.139086,-86.84964",1550000,MXN,0
house,|Solidaridad|Quintana Roo|México|,"20.6764114797,-87.0514203197",8100000,MXN,395
apartment,|Coyoacán|Distrito Federal|México|,"19.309208,-99.171906",1000000,MXN,63
house,|Iztapalapa|Distrito Federal|México|,"19.354297,-98.9978448",1400000,MXN,252
house,|Coyoacán|Distrito Federal|México|,"19.306892,-99.105556",4950000,MXN,260
apartment,|Coyoacán|Distrito Federal|México|,"19.304501,-99.123121",905000,MXN,60
apartment,|Benito Juárez|Distrito Federal|México|,"19.39365,-99.14769",2993000,MXN,75
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.409369,-99.171906",4592000,MXN,64
apartment,|Benito Juárez|Distrito Federal|México|,"19.36269,-99.150565",1260000,MXN,75
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.3392293,-99.2189838",4800000,MXN,150
house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.395424,-99.258068",21500000,MXN,682
apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.464712,-99.124872",2500000,MXN,208
apartment,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"19.993998,-87.1875",350000,USD,221
apartment,|Iztacalco|Distrito Federal|México|,"19.400097,-99.122093",1699000,MXN,51
apartment,|Benito Juárez|Distrito Federal|México|,"19.367025,-99.170349",3150000,MXN,97
